team,yellow_cards,indirect_red_cards,direct_red_cards,team_conduct_score,matches_count,fair_play_points,cards_per_match,source_note
France,22,0,0,-22,11,22,2.0,Actualizado con tarjetas oficiales de octavos
Czech Republic,1,0,0,-1,3,1,0.3333,Actualizado hasta 16avos; base Transfermarkt Fair Play Table 2026
Tunisia,1,0,0,-1,3,1,0.3333,Actualizado hasta 16avos; base Transfermarkt Fair Play Table 2026
Spain,9,0,0,-9,11,9,0.8182,Actualizado con tarjetas oficiales de octavos
Turkey,2,0,0,-2,3,2,0.6667,Actualizado hasta 16avos; base Transfermarkt Fair Play Table 2026
Norway,2,0,0,-2,11,2,0.1818,Actualizado con tarjetas oficiales de octavos
Morocco,30,0,0,-30,11,30,2.7273,Actualizado con tarjetas oficiales de octavos
Germany,3,0,0,-3,4,3,0.75,Actualizado hasta 16avos; base Transfermarkt Fair Play Table 2026
England,31,0,7,-59,11,59,5.3636,Actualizado con tarjetas oficiales de octavos
Netherlands,3,0,0,-3,4,3,0.75,Actualizado hasta 16avos; base Transfermarkt Fair Play Table 2026
Switzerland,24,0,0,-24,11,24,2.1818,Actualizado con tarjetas oficiales de octavos
Argentina,3,0,0,-3,11,3,0.2727,Actualizado con tarjetas oficiales de octavos
Senegal,3,0,0,-3,4,3,0.75,Actualizado hasta 16avos; base Transfermarkt Fair Play Table 2026
Algeria,3,0,0,-3,4,3,0.75,Actualizado hasta 16avos; base Transfermarkt Fair Play Table 2026
Japan,4,0,0,-4,4,4,1.0,Actualizado hasta 16avos; base Transfermarkt Fair Play Table 2026
Croatia,4,0,0,-4,4,4,1.0,Actualizado hasta 16avos; base Transfermarkt Fair Play Table 2026
Uzbekistan,4,0,0,-4,3,4,1.3333,Actualizado hasta 16avos; base Transfermarkt Fair Play Table 2026
South Korea,4,0,0,-4,3,4,1.3333,Actualizado hasta 16avos; base Transfermarkt Fair Play Table 2026
Ivory Coast,4,0,0,-4,4,4,1.0,Actualizado hasta 16avos; base Transfermarkt Fair Play Table 2026
New Zealand,4,0,0,-4,3,4,1.3333,Actualizado hasta 16avos; base Transfermarkt Fair Play Table 2026
Jordan,4,0,0,-4,3,4,1.3333,Actualizado hasta 16avos; base Transfermarkt Fair Play Table 2026
Portugal,19,0,0,-19,11,19,1.7273,Actualizado con tarjetas oficiales de octavos
Scotland,5,0,0,-5,3,5,1.6667,Actualizado hasta 16avos; base Transfermarkt Fair Play Table 2026
Austria,5,0,0,-5,4,5,1.25,Actualizado hasta 16avos; base Transfermarkt Fair Play Table 2026
Australia,5,0,0,-5,4,5,1.25,Actualizado hasta 16avos; base Transfermarkt Fair Play Table 2026
Sweden,5,0,0,-5,4,5,1.25,Actualizado hasta 16avos; base Transfermarkt Fair Play Table 2026
Panama,5,0,0,-5,3,5,1.6667,Actualizado hasta 16avos; base Transfermarkt Fair Play Table 2026
Cape Verde,5,0,0,-5,4,5,1.25,Actualizado hasta 16avos; base Transfermarkt Fair Play Table 2026
Ghana,6,0,0,-6,4,6,1.5,Actualizado hasta 16avos; base Transfermarkt Fair Play Table 2026
Iran,6,0,0,-6,3,6,2.0,Actualizado hasta 16avos; base Transfermarkt Fair Play Table 2026
Saudi Arabia,6,0,0,-6,3,6,2.0,Actualizado hasta 16avos; base Transfermarkt Fair Play Table 2026
Colombia,20,0,0,-20,11,20,1.8182,Actualizado con tarjetas oficiales de octavos
DR Congo,6,0,0,-6,4,6,1.5,Actualizado hasta 16avos; base Transfermarkt Fair Play Table 2026
Mexico,16,0,1,-20,11,20,1.8182,Actualizado con tarjetas oficiales de octavos
Brazil,14,0,0,-14,11,14,1.2727,Actualizado con tarjetas oficiales de octavos
Canada,35,0,0,-35,11,35,3.1818,Actualizado con tarjetas oficiales de octavos
Haiti,7,0,0,-7,3,7,2.3333,Actualizado hasta 16avos; base Transfermarkt Fair Play Table 2026
Curacao,7,0,0,-7,3,7,2.3333,Actualizado hasta 16avos; base Transfermarkt Fair Play Table 2026
Belgium,4,0,1,-8,11,8,0.7273,Actualizado con tarjetas oficiales de octavos
Iraq,4,0,1,-8,3,8,2.6667,Actualizado hasta 16avos; base Transfermarkt Fair Play Table 2026
Egypt,22,0,0,-22,11,22,2.0,Actualizado con tarjetas oficiales de octavos
Uruguay,5,0,1,-9,3,9,3.0,Actualizado hasta 16avos; base Transfermarkt Fair Play Table 2026
United States,19,0,1,-23,11,23,2.0909,Actualizado con tarjetas oficiales de octavos
Bosnia and Herzegovina,7,0,1,-11,4,11,2.75,Actualizado hasta 16avos; base Transfermarkt Fair Play Table 2026
Ecuador,8,0,1,-12,4,12,3.0,Actualizado hasta 16avos; base Transfermarkt Fair Play Table 2026
Qatar,4,0,2,-12,3,12,4.0,Actualizado hasta 16avos; base Transfermarkt Fair Play Table 2026
Paraguay,9,0,1,-13,11,13,1.1818,Actualizado con tarjetas oficiales de octavos
South Africa,5,0,2,-13,4,13,3.25,Actualizado hasta 16avos; base Transfermarkt Fair Play Table 2026
